Date,Open,High,Low,Close,Adj Close,Volume
2023-04-20,75.849998,75.849998,75.849998,75.849998,75.422867,0
2023-04-21,76.230003,76.230003,76.230003,76.230003,75.800735,0
2023-04-24,76.059998,76.059998,76.059998,76.059998,75.631683,0
2023-04-25,74.260002,74.260002,74.260002,74.260002,73.841827,0
2023-04-26,73.709999,73.709999,73.709999,73.709999,73.294914,0
2023-04-27,74.480003,74.480003,74.480003,74.480003,74.060585,0
2023-04-28,75.120003,75.120003,75.120003,75.120003,74.696976,0
2023-05-01,75.339996,75.339996,75.339996,75.339996,74.915733,0
2023-05-02,74.040001,74.040001,74.040001,74.040001,73.623062,0
2023-05-03,74.320000,74.320000,74.320000,74.320000,73.901482,0
2023-05-04,73.559998,73.559998,73.559998,73.559998,73.145767,0
2023-05-05,75.059998,75.059998,75.059998,75.059998,74.637314,0
2023-05-08,75.129997,75.129997,75.129997,75.129997,74.706924,0
2023-05-09,74.970001,74.970001,74.970001,74.970001,74.547821,0
2023-05-10,75.410004,75.410004,75.410004,75.410004,74.985352,0
2023-05-11,74.910004,74.910004,74.910004,74.910004,74.488159,0
2023-05-12,74.690002,74.690002,74.690002,74.690002,74.269402,0
2023-05-15,75.800003,75.800003,75.800003,75.800003,75.373154,0
2023-05-16,74.570000,74.570000,74.570000,74.570000,74.150070,0
2023-05-17,75.680000,75.680000,75.680000,75.680000,75.253830,0
2023-05-18,76.330002,76.330002,76.330002,76.330002,75.900169,0
2023-05-19,75.889999,75.889999,75.889999,75.889999,75.462646,0
2023-05-22,76.769997,76.769997,76.769997,76.769997,76.337685,0
2023-05-23,75.889999,75.889999,75.889999,75.889999,75.462646,0
2023-05-24,75.110001,75.110001,75.110001,75.110001,74.687035,0
2023-05-25,74.660004,74.660004,74.660004,74.660004,74.239578,0
2023-05-26,75.480003,75.480003,75.480003,75.480003,75.054962,0
2023-05-30,75.529999,75.529999,75.529999,75.529999,75.104668,0
2023-05-31,75.110001,75.110001,75.110001,75.110001,74.687035,0
2023-06-01,75.970001,75.970001,75.970001,75.970001,75.542198,0
2023-06-02,77.750000,77.750000,77.750000,77.750000,77.312172,0
2023-06-05,77.250000,77.250000,77.250000,77.250000,76.814987,0
2023-06-06,78.489998,78.489998,78.489998,78.489998,78.047997,0
2023-06-07,78.930000,78.930000,78.930000,78.930000,78.485519,0
2023-06-08,78.830002,78.830002,78.830002,78.830002,78.386093,0
2023-06-09,78.309998,78.309998,78.309998,78.309998,77.869011,0
2023-06-12,79.180000,79.180000,79.180000,79.180000,78.734116,0
2023-06-13,80.239998,80.239998,80.239998,80.239998,79.788147,0
2023-06-14,79.650002,79.650002,79.650002,79.650002,79.201477,0
2023-06-15,80.360001,80.360001,80.360001,80.360001,79.907471,0
2023-06-16,79.830002,79.830002,79.830002,79.830002,79.380455,0
2023-06-20,79.440002,79.440002,79.440002,79.440002,78.992661,0
2023-06-21,78.989998,78.989998,78.989998,78.989998,78.545181,0
2023-06-22,78.580002,78.580002,78.580002,78.580002,78.268288,0
2023-06-23,77.480003,77.480003,77.480003,77.480003,77.172653,0
2023-06-26,77.480003,77.480003,77.480003,77.480003,77.172653,0
2023-06-27,78.849998,78.849998,78.849998,78.849998,78.537216,0
2023-06-28,79.300003,79.300003,79.300003,79.300003,78.985435,0
2023-06-29,80.029999,80.029999,80.029999,80.029999,79.712540,0
2023-06-30,80.750000,80.750000,80.750000,80.750000,80.429680,0
2023-07-03,80.720001,80.720001,80.720001,80.720001,80.399803,0
2023-07-05,80.099998,80.099998,80.099998,80.099998,79.782257,0
2023-07-06,78.910004,78.910004,78.910004,78.910004,78.596985,0
2023-07-07,79.559998,79.559998,79.559998,79.559998,79.244400,0
2023-07-10,81.169998,81.169998,81.169998,81.169998,80.848007,0
2023-07-11,82.129997,82.129997,82.129997,82.129997,81.804207,0
2023-07-12,82.930000,82.930000,82.930000,82.930000,82.601028,0
2023-07-13,83.620003,83.620003,83.620003,83.620003,83.288292,0
2023-07-14,82.760002,82.760002,82.760002,82.760002,82.431709,0
2023-07-17,83.459999,83.459999,83.459999,83.459999,83.128929,0
2023-07-18,83.849998,83.849998,83.849998,83.849998,83.517387,0
2023-07-19,84.029999,84.029999,84.029999,84.029999,83.696663,0
2023-07-20,82.910004,82.910004,82.910004,82.910004,82.581116,0
2023-07-21,82.949997,82.949997,82.949997,82.949997,82.620949,0
2023-07-24,82.639999,82.639999,82.639999,82.639999,82.312180,0
2023-07-25,82.910004,82.910004,82.910004,82.910004,82.581116,0
2023-07-26,83.160004,83.160004,83.160004,83.160004,82.830124,0
2023-07-27,81.980003,81.980003,81.980003,81.980003,81.654808,0
2023-07-28,83.230003,83.230003,83.230003,83.230003,82.899849,0
2023-07-31,84.209999,84.209999,84.209999,84.209999,83.875954,0
2023-08-01,83.699997,83.699997,83.699997,83.699997,83.367973,0
2023-08-02,81.980003,81.980003,81.980003,81.980003,81.654808,0
2023-08-03,81.760002,81.760002,81.760002,81.760002,81.435677,0
2023-08-04,81.449997,81.449997,81.449997,81.449997,81.126900,0
2023-08-07,81.519997,81.519997,81.519997,81.519997,81.196617,0
2023-08-08,80.769997,80.769997,80.769997,80.769997,80.449593,0
2023-08-09,80.169998,80.169998,80.169998,80.169998,79.851982,0
2023-08-10,80.099998,80.099998,80.099998,80.099998,79.782257,0
2023-08-11,80.169998,80.169998,80.169998,80.169998,79.851982,0
2023-08-14,80.540001,80.540001,80.540001,80.540001,80.220512,0
2023-08-15,79.669998,79.669998,79.669998,79.669998,79.353958,0
2023-08-16,78.580002,78.580002,78.580002,78.580002,78.268288,0
2023-08-17,77.209999,77.209999,77.209999,77.209999,76.903717,0
2023-08-18,77.599998,77.599998,77.599998,77.599998,77.292175,0
2023-08-21,77.889999,77.889999,77.889999,77.889999,77.581024,0
2023-08-22,77.900002,77.900002,77.900002,77.900002,77.590988,0
2023-08-23,78.900002,78.900002,78.900002,78.900002,78.587013,0
2023-08-24,77.470001,77.470001,77.470001,77.470001,77.162689,0
2023-08-25,78.099998,78.099998,78.099998,78.099998,77.790192,0
2023-08-28,78.559998,78.559998,78.559998,78.559998,78.248367,0
2023-08-29,80.099998,80.099998,80.099998,80.099998,79.782257,0
2023-08-30,80.690002,80.690002,80.690002,80.690002,80.369919,0
2023-08-31,80.730003,80.730003,80.730003,80.730003,80.409767,0
2023-09-01,81.480003,81.480003,81.480003,81.480003,81.156784,0
2023-09-05,80.160004,80.160004,80.160004,80.160004,79.842026,0
2023-09-06,80.110001,80.110001,80.110001,80.110001,79.792221,0
2023-09-07,79.470001,79.470001,79.470001,79.470001,79.154762,0
2023-09-08,79.019997,79.019997,79.019997,79.019997,78.706535,0
2023-09-11,79.290001,79.290001,79.290001,79.290001,78.975471,0
2023-09-12,79.050003,79.050003,79.050003,79.050003,78.736427,0
2023-09-13,78.449997,78.449997,78.449997,78.449997,78.138802,0
2023-09-14,79.150002,79.150002,79.150002,79.150002,78.836029,0
2023-09-15,78.250000,78.250000,78.250000,78.250000,77.939598,0
2023-09-18,77.870003,77.870003,77.870003,77.870003,77.561111,0
2023-09-19,77.470001,77.470001,77.470001,77.470001,77.162689,0
2023-09-20,76.680000,76.680000,76.680000,76.680000,76.484428,0
2023-09-21,74.949997,74.949997,74.949997,74.949997,74.758835,0
2023-09-22,74.839996,74.839996,74.839996,74.839996,74.649117,0
2023-09-25,75.040001,75.040001,75.040001,75.040001,74.848610,0
2023-09-26,74.050003,74.050003,74.050003,74.050003,73.861137,0
2023-09-27,74.800003,74.800003,74.800003,74.800003,74.609222,0
2023-09-28,75.540001,75.540001,75.540001,75.540001,75.347336,0
2023-09-29,75.320000,75.320000,75.320000,75.320000,75.127892,0
